               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045448,            0.065364,            0.016448,             0.71383,             0.64427,             0.71969,             0.47916,             0.04064,             0.03663,           0.0094938,              0.0937,              0.0007,              0.0007
                   1,            0.043833,            0.061739,            0.017214,             0.73784,             0.65144,             0.75079,             0.50139,            0.040073,            0.036016,            0.008564,            0.086485,           0.0014851,           0.0014851
                   2,            0.044757,            0.070137,            0.015992,             0.83019,              0.6249,             0.75738,             0.50537,            0.039815,            0.035407,           0.0078327,            0.079254,           0.0022545,           0.0022545
                   3,            0.044039,            0.062045,            0.013604,              0.8241,              0.6473,             0.76246,             0.51031,            0.040074,             0.03519,           0.0072678,            0.072008,           0.0030079,           0.0030079
                   4,            0.044536,            0.060827,            0.013259,             0.79486,             0.68306,             0.77439,             0.51164,            0.039875,            0.034628,           0.0066991,            0.064746,           0.0037456,           0.0037456
                   5,            0.045308,            0.056122,            0.013638,             0.78175,             0.70733,             0.79533,             0.49912,            0.041803,            0.033271,            0.006199,            0.057467,           0.0044673,           0.0044673
                   6,            0.045336,            0.050451,            0.013333,             0.74708,             0.71825,              0.7808,              0.4759,            0.043305,            0.033112,           0.0060303,            0.050173,           0.0051733,           0.0051733
                   7,            0.047824,            0.060095,            0.010303,             0.77351,              0.7112,             0.79127,             0.48997,            0.043093,             0.03257,           0.0055114,            0.042863,           0.0058634,           0.0058634
                   8,            0.047535,             0.05841,            0.012361,             0.76999,             0.72793,             0.80307,              0.4751,            0.045396,            0.032508,            0.005324,            0.035538,           0.0065377,           0.0065377
                   9,            0.046641,            0.054658,             0.01004,             0.74684,             0.78187,             0.81246,             0.50566,            0.043426,            0.031876,           0.0052033,            0.028196,           0.0071961,           0.0071961
                  10,            0.048278,            0.062297,            0.010104,             0.71872,             0.77711,             0.79862,             0.47108,            0.046747,            0.030521,           0.0050899,            0.020839,           0.0078387,           0.0078387
                  11,            0.048107,            0.055118,           0.0097908,             0.75695,             0.78553,             0.80594,             0.52184,            0.043189,            0.030062,           0.0051423,            0.013465,           0.0084655,           0.0084655
                  12,            0.045921,            0.049644,            0.011649,             0.76258,              0.7637,             0.81028,             0.51703,            0.043812,            0.029437,           0.0050477,            0.008812,            0.008812,            0.008812
                  13,            0.047071,            0.055214,            0.011044,             0.83384,             0.78054,             0.83638,             0.55519,            0.041294,            0.029441,           0.0051527,            0.008812,            0.008812,            0.008812
                  14,            0.044682,            0.048314,           0.0097826,               0.774,             0.78309,             0.82509,             0.53572,            0.042838,            0.028893,           0.0050573,            0.008713,            0.008713,            0.008713
